band,barrier_free,capacity,card,charter,child,course,credit_card,english,free_drink,free_food,horigotatsu,karaoke,ktai_coupon,lat,lng,lunch,midnight,non_smoking,parking,party_capacity,pet,private_room,show,tatami,tv,wifi,budget.code,genre.code,large_area.code,large_service_area.code,middle_area.code,service_area.code,small_area.code
0,1,35,1,0,1,1,"[V,M,A,D,J,G, {'code': 'c12', 'name': 'Discover'}]",1,1,0,0,0,0,35.00554944,135.7664546,1,0,2,0,35,0,0,0,0,0,1,2500,居酒屋,Z022,SS20,Y432,SA22,X430
0,1,40,1,0,1,1,"[V,M,A,D,J]",0,1,0,0,1,1,35.00582226,135.7695109,0,1,2,0,80,0,0,0,0,1,1,1750,カラオケ・パーティー,Z022,SS20,Y432,SA22,X430
0,0,60,1,1,2,0,"[V,M,A,D,J,G]",1,0,0,0,0,0,35.005878,135.7658065,1,0,2,0,60,0,1,0,0,0,1,1750,カフェ・スイーツ,Z022,SS20,Y432,SA22,X430
0,0,19,1,0,2,1,"[V,M,A,D,J,G, {'code': 'c12', 'name': 'Discover'}]",1,0,0,0,0,0,35.00740736,135.7698586,1,1,2,0,6,0,0,0,0,0,1,1750,ラーメン,Z022,SS20,Y432,SA22,X430
1,0,72,1,1,1,1,"[V,M,A,D,J]",1,1,0,0,1,0,35.01033006,135.7687322,1,0,2,0,70,1,0,1,0,1,1,2500,イタリアン・フレンチ,Z022,SS20,Y432,SA22,X430
1,0,32,1,1,1,1,"[V,M,A,J]",1,1,0,0,0,0,35.00419752,135.7726835,1,0,2,0,50,1,0,0,0,1,1,3500,ダイニングバー・バル,Z022,SS20,Y432,SA22,X430
0,0,90,1,1,1,1,"[V,M,A,D,J]",1,1,1,0,1,0,35.00513991,135.7726482,0,1,1,0,100,0,1,0,0,1,1,3500,ダイニングバー・バル,Z022,SS20,Y432,SA22,X430
0,0,42,1,0,1,1,"[V,M,A,D,J]",1,0,0,0,0,1,35.00354727,135.7708701,1,0,1,0,32,0,0,0,0,0,0,8500,和食,Z022,SS20,Y432,SA22,X430
0,0,28,1,1,2,1,"[V,M,J]",1,1,0,0,0,0,35.00624609,135.7690057,1,0,2,0,40,0,0,0,0,1,0,3500,イタリアン・フレンチ,Z022,SS20,Y432,SA22,X430
0,0,28,1,0,2,0,"[V,M,A,D,J,G]",1,0,0,0,0,1,35.0036792,135.7708384,1,0,2,0,28,0,0,0,0,0,1,1750,焼肉・ホルモン,Z022,SS20,Y432,SA22,X430
0,0,80,0,1,2,1,,0,1,1,1,0,0,35.00739541,135.769279,0,0,0,0,80,0,0,0,0,0,未確認,1750,焼肉・ホルモン,Z022,SS20,Y432,SA22,X430
0,0,39,1,0,0,1,"[V,M,A,D,J]",0,1,0,0,0,0,35.0044676,135.7657785,0,0,2,0,22,0,0,0,0,0,未確認,2500,居酒屋,Z022,SS20,Y432,SA22,X430
0,0,77,1,1,0,1,"[V,D,J]",1,1,0,0,0,0,35.00663161,135.7693615,0,1,0,0,100,0,1,0,0,1,1,2500,ダイニングバー・バル,Z022,SS20,Y432,SA22,X430
0,0,22,1,1,1,0,"[V,M,A,D,J]",1,1,0,0,0,0,35.00464875,135.7683278,1,0,2,0,25,0,0,0,0,0,1,1750,アジア・エスニック,Z022,SS20,Y432,SA22,X430
0,0,138,0,0,2,1,,0,1,1,0,0,0,35.00396469,135.7695835,1,0,2,0,138,0,0,0,0,0,未確認,1250,カフェ・スイーツ,Z022,SS20,Y432,SA22,X430
0,0,47,1,0,2,1,"[V,M,A,D,J]",1,0,0,0,0,0,35.00686575,135.7695048,1,0,2,0,47,0,0,0,0,0,未確認,1250,カフェ・スイーツ,Z022,SS20,Y432,SA22,X430
0,0,62,1,1,1,1,"[V,M,A,D,J,G]",1,1,0,0,0,1,35.00503182,135.7707061,0,0,1,0,62,0,0,0,0,0,1,4500,焼肉・ホルモン,Z022,SS20,Y432,SA22,X430
0,0,12,1,0,1,1,"[V,M,A,D,J]",0,0,0,0,0,0,35.00429019,135.7684733,0,0,2,0,12,0,0,0,0,0,0,3500,居酒屋,Z022,SS20,Y432,SA22,X430
0,0,56,1,0,2,1,"[V,M,A,J]",0,1,1,0,0,0,35.00576781,135.769089,1,0,2,0,56,0,0,0,0,0,0,2500,和食,Z022,SS20,Y432,SA22,X430
0,0,46,1,1,1,1,"[V,M,A,J]",1,1,0,0,0,1,35.00332665,135.7669304,1,0,2,0,34,0,0,0,0,0,0,3500,焼肉・ホルモン,Z022,SS20,Y432,SA22,X430
0,0,141,1,0,1,1,"[V,M,A,D,J]",0,1,0,1,0,1,35.00394208,135.7647706,1,0,2,0,,0,1,0,1,0,未確認,2500,居酒屋,Z022,SS20,Y432,SA22,X430
0,1,14,1,1,2,1,"[V,M,A,D,J]",1,1,0,0,0,0,35.00239764,135.7690947,1,0,2,0,20,0,0,0,0,0,0,3500,イタリアン・フレンチ,Z022,SS20,Y432,SA22,X430
0,0,31,0,1,1,1,,0,1,0,1,0,1,35.00705879,135.7699164,0,1,1,0,35,0,0,0,0,0,1,4500,居酒屋,Z022,SS20,Y432,SA22,X430
1,0,44,0,0,1,1,,1,1,0,0,0,0,35.00358136,135.7678103,1,0,2,0,40,0,0,0,0,1,未確認,1750,カフェ・スイーツ,Z022,SS20,Y432,SA22,X430
0,1,62,1,1,2,1,"[V,M,A,J]",1,0,0,1,0,1,35.00390911,135.7682928,1,0,2,1,32,0,1,0,0,1,1,6000,和食,Z022,SS20,Y432,SA22,X430
0,0,40,1,0,1,0,"[V,M,A]",0,0,0,0,0,1,35.00353252,135.7697132,1,0,2,0,,0,0,0,0,0,未確認,1750,洋食,Z022,SS20,Y432,SA22,X430
